2025-09-25 17:14:41,725 p=7132 u=root n=ansible | [DEPRECATION WARNING]: DEFAULT_GATHER_SUBSET option, the module_defaults 
2025-09-25 17:32:57,357 p=21549 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:32:57,411 p=21549 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:32:59,447 p=21549 u=root n=ansible | ok: [test-master]
2025-09-25 17:32:59,475 p=21549 u=root n=ansible | TASK [common : Start and enable Docker service] **************************************************************************************************************
2025-09-25 17:33:02,269 p=21549 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:33:02,360 p=21549 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:33:02,406 p=21549 u=root n=ansible | ok: [test-master]
2025-09-25 17:33:02,421 p=21549 u=root n=ansible | TASK [common : Wait for Docker socket] ***********************************************************************************************************************
2025-09-25 17:33:04,310 p=21549 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:33:04,369 p=21549 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:33:04,495 p=21549 u=root n=ansible | ok: [test-master]
2025-09-25 17:33:04,518 p=21549 u=root n=ansible | TASK [common : Install Python Docker SDK] ********************************************************************************************************************
2025-09-25 17:33:07,894 p=21549 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:33:07,895 p=21549 u=root n=ansible | ok: [test-master]
2025-09-25 17:33:07,958 p=21549 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:33:07,990 p=21549 u=root n=ansible | TASK [common : Add user to docker group] *********************************************************************************************************************
2025-09-25 17:33:10,298 p=21549 u=root n=ansible | ok: [test-worker1]
2025-09-25 17:33:10,405 p=21549 u=root n=ansible | ok: [test-worker2]
2025-09-25 17:33:10,940 p=21549 u=root n=ansible | ok: [test-master]
2025-09-25 17:33:10,969 p=21549 u=root n=ansible | TASK [common : Docker login via CLI] *************************************************************************************************************************
2025-09-25 17:33:15,738 p=21549 u=root n=ansible | changed: [test-worker1]
2025-09-25 17:33:15,758 p=21549 u=root n=ansible | changed: [test-worker2]
2025-09-25 17:33:15,924 p=21549 u=root n=ansible | changed: [test-master]
2025-09-25 17:33:16,222 p=21549 u=root n=ansible | PLAY [Initialize Swarm on master] ****************************************************************************************************************************
2025-09-25 17:33:16,287 p=21549 u=root n=ansible | TASK [swarm_init : Initialize Docker Swarm if not already part of one] ***************************************************************************************
2025-09-25 17:33:17,823 p=21549 u=root n=ansible | ok: [test-master]
2025-09-25 17:33:17,838 p=21549 u=root n=ansible | TASK [swarm_init : Check if Swarm is active] *****************************************************************************************************************
2025-09-25 17:33:19,857 p=21549 u=root n=ansible | changed: [test-master]
